objectid,filename_og,,,,,final file type,,format-CAT,format-almost,format,filename,title,creator,mine,depth,date,description,subject,location,latitude,longitude,source,format original,format_og,type,identifier,language,rights,rightsstatement
cb031,500_OHR_06052022_023.png,500_OHR_06052022_023,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06052022_023.png,Santa Cruz Sentinel cover,Melissa Hartman,Osa Hidalgo de la Riva,,"July 4, 2021","Front page scan of Santa Cruz Sentinel issue featuring a story about the abuse Lola de la Riva is experiencing at Pacific Coast Manor, a senior care facility, in Capitola California. At the top of the page is a photograph featuring Liz Hidalgo de la Riva, Lola de la Riva, Osa Hidalgo de la Riva, and three members from another Latino family who's relative had recently died at the facility. They were photographed at the facility for this article and were informed by the article and staff that they",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Santa Cruz Sentinel; Santa Cruz; elder abuse; Capitola; Liz Hidalgo de la Riva; Lola de la Riva; Osa Hidalgo de la Riva; investigation; journalism; Pacific Coast Manor; 2021,,,,Osa Hidalgo de la Riva,"8""x10""",,newspaper,500_OHR_06052022_023,,Melissa Hartman,
cb030,500_OHR_06052022_024.png,500_OHR_06052022_024,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06052022_024.png,Amor,Lola de la Riva,Osa Hidalgo de la Riva,,c. 2017,"Watercolor pen and ink on paper. Made by Lola de la Riva, this artwork is a visual depiction of love and a song (in particular those undulating lines in the center) by Rita Lackey called ""Up and Down Thing."" Rita Lackey is a Black singer/songwriter who formed a group called Somethin' Special, an all-female band writing protest songs in Santa Cruz popular during the 1970s and 1980s. This was likely made while Lola was at Pacific Coast Manor.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Lola de la Riva; watercolor; Rita Lackey; Somethin' Special; band; music; 1970s; 1980s; Santa Cruz; Black; African American; elder art,,,,Osa Hidalgo de la Riva,"6""x10""",,watercolor on paper,500_OHR_06052022_024,,Lola de la Riva,
cb029,500_OHR_06052022_025.png,500_OHR_06052022_025,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06052022_025.png,Untitled artwork,Lola de la Riva,Osa Hidalgo de la Riva,,c. late 1990s,Red and black colored pencil on paper illustration of Mexica woman by Lola de la Riva.,cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Santa Cruz Sentinel; Santa Cruz; elder abuse; Capitola; Liz Hidalgo de la Riva; Lola de la Riva; Osa Hidalgo de la Riva; Pacific Coast Manor; 2021,,,,Osa Hidalgo de la Riva,"8""x10""",,Colored pencil on paper,500_OHR_06052022_025,,Lola de la Riva,
cb028,500_OHR_06052022_026.png,500_OHR_06052022_026,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06052022_026.png,Grandma Angie photograph,Unknown,Osa Hidalgo de la Riva,,c. mid-20th century,"Black and white photograph of Grandma Angie likely used for some kind of legal or official document. There is a portion of a small hand in the upper right corner that reads ""sign here"" and is cut off. A the bottom center of the photo is a cut off seal with the words ""seal"" in the middle, with embossed words that are illegible.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Angela Rubio Dela Riva; Grandma Angie; legal document; seal; Photograph; mid-20th century; portrait; black and white,,,,Osa Hidalgo de la Riva,"5""x6""",,photograph,500_OHR_06052022_026,,Unknown,
cb027,500_OHR_06052022_027.png,500_OHR_06052022_027,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06052022_027.png,Cactus Woman,Lola de la Riva,Osa Hidalgo de la Riva,,c. late 20th century,"Illustration by Lola de la Riva of a cactus figure with breasts, a face, and a variety of flowers and fruits against a yellow sunburst background. The words ""Art Bye Lola Riva"" in the lower right corner with a geometric flourish below the name. Lola continues to make small and notes for friends and family while at Pacific Coast Manner. This is likely one of those artworks.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Lola de la Riva; illustration; flowers; fruits; sunset; cactus; female figure; late 20th century,,,,Osa Hidalgo de la Riva,"8""x10""",,watercolor on paper,500_OHR_06052022_027,,Lola de la Riva,
cb026,500_OHR_06102022_028.png,500_OHR_06102022_028,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06102022_028.png,Lonely Howls,Elizabeth Hidalgo de la Riva,Osa Hidalgo de la Riva,,c. 1977-1978,"Pen and ink illustration in a spiral-bound notebook by Liz de la Riva. There is a central animal figure howling in the middle of an empty circle flanked by two tree-like objects on either side. Below the animal is a signature and date which read ""E.M. HIDALGO 1979"" and ""LONELY HOWLS"" title at the bottom of the page.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; pen and ink drawing; Liz Hidalgo de la Riva; animals; tree; howling; Santa Cruz; 1977; 1978; 1970s; 1979; Elizabeth M. Hidalgo; lonely howls; notebook,,,,Osa Hidalgo de la Riva,"8""x10""",,ink on paper,500_OHR_06102022_028,,Elizabeth Hidalgo de la Riva,
cb025,500_OHR_06102022_029.png,500_OHR_06102022_029,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06102022_029.png,Untitled drawing,Elizabeth Hidalgo de la Riva,Osa Hidalgo de la Riva,,1979,"Pen and ink illustration of farmworkers picking fields in a spiral-bound notebook by Liz de la Riva. Likely made while Liz was finsihing her B.A. in psychology at University of California Santa Cruz. The field lines meet in the background to form the stripes of an American flag. To the left of the workers picking crops, is a line of strikers carring a ""Huelga"" sign and a banner with the UFW logo. One of the strikers is looking at the workers and motioning them to join. ""E.M. HIDALGO 1979"" is wr",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; pen and ink drawing; Liz Hidalgo de la Riva; Santa Cruz; 1977; 1978; 1970s; 1979; Elizabeth M. Hidalgo; University of California Santa Cruz; Branciforte; notebook,,,,Osa Hidalgo de la Riva,"8""x10""",,ink on paper,500_OHR_06102022_029,,Elizabeth Hidalgo de la Riva,
cb024,500_OHR_06102022_030.png,500_OHR_06102022_030,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06102022_030.png,Frida drawing,Elizabeth Hidalgo de la Riva,Osa Hidalgo de la Riva,,1979,Pen and ink drawing of Frida by Liz Hidalgo de la Riva made while she was a student at UCSC.,cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; pen and ink drawing; Liz Hidalgo de la Riva; Santa Cruz; 1977; 1978; 1970s; 1979; Elizabeth M. Hidalgo; Frida Kahlo; notebook; icon; Chicana,,,,Osa Hidalgo de la Riva,"8""x10""",,ink on paper,500_0HR_06102022_030,,Elizabeth Hidalgo de la Riva,
cb023,500_OHR_06102022_031.png,500_OHR_06102022_031,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06102022_031.png,Santa Cruz,Elizabeth Hidalgo de la Riva,Osa Hidalgo de la Riva,,1979,"Drawing by Liz Hidalgo of an older native man among trees with a pipe, who looks upset. An illustration of her response to the colonizing of land and space and trees overall because people were talking about that at this time, channeling some of the environmental conversations that aligned environmentalism with Indigenous culture and history.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; pen and ink drawing; Liz Hidalgo de la Riva; Santa Cruz; 1977; 1978; 1970s; 1979; Elizabeth M. Hidalgo; Native American; man; colonization; angry; trees; nature; environmentalism; pipe; notebook,,,,Osa Hidalgo de la Riva,"8""x10""",,ink on paper,500_OHR_06102022_031,,Elizabeth Hidalgo de la Riva,
cb000,500_OHR_06232022_032_0.png,#REF!,image/png,,,image/png,,image/image/png,image/image/png,image/image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_032_0.png,,,,,,,,,,,,,,,,,,
cb022,500_OHR_06232022_032.png,500_OHR_06232022_032,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_032.png,National Association of Chicana and Chicano Studies conference,Unknown,Osa Hidalgo de la Riva,,2019,"Nancy ""Rusty"" Barcelo one of the co-founders of MALCS (Mujeres Activas en Letras y Cambio Social), Lili de la Riva, and Josie Mendez-Negrete a feminist proffessor and key member of the NACCS (National Association of Chicana and Chicano Studies). Photo was taken during the 2019 NACCS conference in Alburqurque NM (Rusty is holding a conference program).",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Nancy Barcelo; Nancy; MALCS; Mujeres Activas en Letras y Cambio Social; NACCS; National Association of Chicana and Chicano Studies; Alburqurque; conference; Lili de la Riva; Josie Mendez-Negrete; feminism; professor,,,,Osa Hidalgo de la Riva,n/a,,digital photograph,500_OHR_06102022_032,,Unknown,
cb021,500_OHR_06232022_033.png,500_OHR_06232022_033,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_033.png,Lola holding drawing,Osa Hidalgo de la Riva,Osa Hidalgo de la Riva,,c.2017,"Lola de la Riva sitting in a wheelchair in front of a bed at Pacific Coast Manner holding a drawing she made of a crying woman, modelled after another resident at Pacific Coast Manor",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Lola de la Riva; Pacific Coast Manor; drawing; pen and ink; crying; woman; wheelchair; eldercare; Santa Cruz,,,,Osa Hidalgo de la Riva,n/a,,digital photograph,500_OHR_06232022_033,,Osa Hidalgo de la Riva,
cb020,500_OHR_06232022_034.png,500_OHR_06232022_034,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_034.png,Lola holding her painting,Unknown,Osa Hidalgo de la Riva,,c. 2015,"Lola de la Riva holding a painting she made of a woman,",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Lola de la Riva; acrylic painting; canvas; Hayward; Oakland,,,,Osa Hidalgo de la Riva,n/a,,digital photograph,500_OHR_06232022_034,,Unknown,
cb019,500_OHR_06232022_035.png,500_OHR_06232022_035,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_035.png,Painted glass figure,Osa Hidalgo de la Riva,Osa Hidalgo de la Riva,,c. 1980s,"Painted glass drawing of a pre-Columbian goddess figure wearing traditional dress and with hands at the bottom center. The paint is brown and black with a veneer of green that comes from the wall behind the glass. Osa made a series of different goddesses of color. Each figure shared an outline, but had a different skin tone representative of the range of ethnicities (red, brown, yellow, and brown). She gave them to different significant people in her life (Angela Davis, and others)",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; pre-Columbian; goddess; glass painting; series; goddesses of color; Angela Davis; 1980s,,,,Osa Hidalgo de la Riva,unknown,,stained glass,500_OHR_06232022_035,,Osa Hidalgo de la Riva,
cb018,500_OHR_06232022_038.png,500_OHR_06232022_038,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_038.png,"Lola, Osa, Lily de la Riva and JoAnna Galindo",Unknown,Osa Hidalgo de la Riva,,2017,"Lola, Osa, Lily de la Riva with Osa's cousin JoAnna Galindo (on her father's side) at the 40th anniversary celebration of Barrios Unidos Santa Cruz held at the Coconut Grove. Daniel ""Nane"" Alejandres and his wife Jenny started Barrios Unidos and met Lola when they collaborated on a Chicano Art exhibition at UCSC around 1977. It was one of the last events Lola was able to attend publically before her health declined further. JoAnna works for the Catholic Charities of Stockton, does a lot of work",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; JoAnna Galindo; 40th anniversary; Lola de la Riva; Lili de la Riva; Santa Cruz; Barrios Unidos; Coconut Grove; Daniel; UCSC; 1977; art exhibition; Catholic Charities; Stockton; 2017,,,,Osa Hidalgo de la Riva,n/a,,digital photograph,500_OHR_06232022_038,,Unknown,
cb017,500_OHR_06232022_039.png,500_OHR_06232022_039,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_039.png,Lola de la Riva with Roberto Nevarez,Unknown,Osa Hidalgo de la Riva,,c. early 1990s,"Lola de la Riva with her nephew Roberto Nevarez (left), likely in Long Beach in the early 1980s. Roberto had been imprisoned for defending his sister from a sexual attack. While in prison, he was physically abused by a guard and had learned enough law to defend himself successfully in court. Osa and he corresponded while he was in a few different prisons across California and she was completing her PhD at UC Davis (LETTERS TO BE SCANNED). He and his five children were supportive of the family pr",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Lola de la Riva; Roberto Nevarez; cousin; Long Beach; early 1980s; prison; UC Davis; Me and Mr Mauri,,,,Osa Hidalgo de la Riva,unknown,,photograph,500_OHR_06232022_039,,Unknown,
cb016,500_OHR_06232022_040.png,500_OHR_06232022_040,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_040.png,Osa and friends at Marsha Kinder birthday party,Unknown,Osa Hidalgo de la Riva,,February 2020,"Lili, Osa, Maria Elena Chavez, [relative of Marsha Kinder], Tara McPherson (digital media professor at USC) at the 80th birthday party for Marsha Kinder in the Westside of Los Angeles. Lili and [unknown] woman are sitting at a table withe the other three stand around, posing for the photo. These are connections Osa made while a student at USC.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Lili de la Riva; Maria Elena Chavez; Marsha Kinder; Tara McPherson; USC; University of Southern California; 2020; Los Angeles,,,,Osa Hidalgo de la Riva,n/a,,digital photograph,500_OHR_06232022_040,,Unknown,
cb015,500_OHR_06232022_041.png,500_OHR_06232022_041,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_041.png,Osa and Marsha Kinder,Unknown,Osa Hidalgo de la Riva,,February 2020,"Osa Hidalgo de la Riva (left) with Marsha Kinder (center) and Maria Elena Chavez (right). Marsha Kinder was Osa's dissertation chair person at USC. Marsha was a founder of the Claremont Colleges film school, and was the first at Sundance Film to make a digital media presentation called the Runaways Project--which included part of Osa's Olmeca Rap. Though other people have mentioned, she had a strong professional persona and was extremely patient and supportive of Osa and her work. She painstakin",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Marsha Kinder; 2020; University of Southern California; USC; Claremont Colleges; Olmeca Rap; Sundance Film School; Runaways Project; Los Angeles; filmmaking; film; digital media; Maria Elena Chavez,,,,Osa Hidalgo de la Riva,n/a,,digital photograph,500_OHR_06232022_041,,Unknown,
cb014,500_OHR_06232022_042.png,500_OHR_06232022_042,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_042.png,Osa and filmmaking group at Sundance Film Festival,Unknown,Osa Hidalgo de la Riva,,2001,"Contingent of Chican@ filmakers who attended Sundance film festival at the suggestion of Marsha Kinder. Dedication in gold pen (a recurring motif in osa's work) reads: ""To Marsha w/ big time thanks Sundanza coaltion 2001""",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Sundance Film Festival; 2001; Marsha Kinder,,,,Osa Hidalgo de la Riva,"4""x6""",,photograph,500_OHR_06232022_042,,Unknown,
cb013,500_OHR_06232022_043.png,500_OHR_06232022_043,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_043.png,Lola de la Riva creating concrete sculpture,Unknown,Osa Hidalgo de la Riva,,c. 1977,"Lola de la Riva creating a round concrete sculpture in the backyard of the Centro de Arte in Long Beach. The sculpture is a recreation of the family mandala that was the art center logo. It was used as a raised patio, where people would gather for events, conversation, and performances. She learned this technique from an international political arts organization that travelled creating large and permanent concrete sculptures for children and performing and sharing Shakespeare's work. Around 1976",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Centro de Arte; sculpture; Lola de la Riva; Long Beach; mandala; backyard; 1977; 1976,,,,Osa Hidalgo de la Riva,n/a,,digital image (likely a digital image of a printed photograph),500_OHR_06232022_043,,Unknown,
cb012,500_OHR_06232022_044.png,500_OHR_06232022_044,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_044.png,Centro de Arte backyard,Unknown,Osa Hidalgo de la Riva,,c. 1977,"Centro de Arte in Long Beach backyard shot, bottom right mandala, finished concrete sculpture; mural upper left was painted on inside walls of the back fence. You can see the furniture Lola made from wooden pallets or repurposed; right building was an old two-car garage. The door painting was made by student workshop participants.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; 1977; Lola de la Riva; sculpture; mandala; mural; backyard; Centro de Arte; Long Beach; DIY; furniture,,,,Osa Hidalgo de la Riva,n/a,,digital photograph,500_OHR_06232022_044,,Unknown,
cb011,500_OHR_06232022_045.png,500_OHR_06232022_045,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_045.png,La Mujer mural dedication,Unknown,Osa Hidalgo de la Riva,,1978,"A photo of a framed photograph Aunt Sally took of the mural dedicated to her in Hayward. Image shows a clenched fist surrounded by the words ""hecho a mano"" at top and ""HAYWARD, CALIFAS"" at bottom. The dedication reads: ""In recognition of 'La Mujer', we dedicate this mural to Celia de la Riva who represents the energy & the love for our raza. We also acknowledge our youth--you are the future & our survival."" The mural was titled La Mujer and was made by Rogelio Cardenas and ""Brocha de Hayward"" an",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Aunt Sally; Hayward; mural; Morelia; Michoacan; Mexico; 2019; Rogelio Cardenas; Brocha de Hayward; La Mujer; 1978; Siguieros; murals; Puerto Rican; Mexican; Cuban; Pan-African; whitewash; Shifra Goldman,,,,Osa Hidalgo de la Riva,unknown,,photograph,500_OHR_06232022_045,,Unknown,
cb010,500_OHR_06232022_046.png,500_OHR_06232022_046,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_046.png,Dolores Huerta painting,Lola de la Riva,Osa Hidalgo de la Riva,,c. late 1960s,"Lola de la Riva painted this acrylic on canvas in the mid-1960s. She visited the ""skid-row"" area of downtown Stockton where buses would pick up farm labor presumably to work in fields. The figure wearing a rebozo is Dolores Huerta. She was organizing with this group of workers (not sure if this was within the UFW establishment) and Lola happened to be there and made this portrait of that moment. Huerta was friends with Lola's older sister (Aunt Lucy) so Lola knew her before. The reflection on he",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Lola de la Riva; 1960s; downtown Stockton; Stockton; Dolores Huerta; farmworker; labor organizing; union; Aunt Lucy; UFW; united farm workers; portrait; acrylic on canvas,,,,Osa Hidalgo de la Riva,unknown,,acrylic on canvas,500_OHR_06232022_046,,Lola de la Riva,
cb009,500_OHR_06232022_047.png,500_OHR_06232022_047,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_047.png,Indigenous Women and Creative Traditions event poster,Unknown,Osa Hidalgo de la Riva,,c. 2016,Aboriginal Australian professor Kathryn Donna Gilbey from University of Southern Queensland visited California on a Fulbright scholarship to work with indigenous women and discuss creative and artistic practices. They were trying to create an anthology summarizing their experiences and findings and made this poster in anticipating of publishing and to advertise speaking engagement.The poster features the University of Southern Queensland logo at top and Fulbright logo at bottom. Text at center r,cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; 2016; Aboriginal; Australian; Kathryn Donna Gilbey; Fulbright scholar; Lola de la Riva; feminist studies; feminism; indigeneity; women; University of Southern Queensland,,,,Osa Hidalgo de la Riva,unknown,,flyer,500_OHR_06232022_047,,Unknown,
cb008,500_OHR_06232022_048.png,500_OHR_06232022_048,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_048.png,Liz Hidalgo de la Riva on horseback,Unknown,Osa Hidalgo de la Riva,,c. 1980s,"Digital photograph of a printed photograph showing Liz riding a horse she befriended named Slim while serving as a ranger at King's Canyon National Park. Liz was an expert horserider, learning tricks, and how to fight fires during the three summers she worked as a ranger.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; King's Canyon; mountee; National Parks Service; Park Ranger; horse; horserider; Yosemite; firefighting; 1980s,,,,Osa Hidalgo de la Riva,"4""x6""",,photograph,500_OHR_06232022_048,,Unknown,
cb007,500_OHR_06232022_049.png,500_OHR_06232022_049,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_049.png,Madre Tierra Press excerpt,Osa Hidalgo de la Riva,Osa Hidalgo de la Riva,,1982,"Osa's contribution to the Madre Tierra Press publication lead by Linda Vallejo within the Women's Building in Los Angeles. Osa decided to use the space afforded to you to highlight the owmen in the de la Riva family. The page title reads: ""Las Mujeres de Familia 'de la Riva'"" From left to right, top to bottom the page includes: a photo of Osa in a hat, poem by Osa titled ""Friday the Thirteenth, 1980"", excerpt from Liz's poem ""Primitive and Pro",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Angela Rubio Dela Riva; Grandma Angie; legal document; seal; Photograph; mid-20th century; portrait; black and white; Inclusivity; Mujerista Principle,,,,Osa Hidalgo de la Riva,unknown,,book,500_OHR_06232022_049,,Osa Hidalgo de la Riva,
cb006,500_OHR_06232022_052.png,500_OHR_06232022_052,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_052.png,Hidalgo de la Riva family,Unknown,Osa Hidalgo de la Riva,,c. late 1980s,"The Hidalgo de la Riva family in their Hayward home in the late 1980s. This photo shows the range of skin tones within the family. Lola's children don't all share the same father, but most were raised by the man in the red shirt named Luis Hidalgo who fathered Liz (in the pink shirt, bottom left). Tim (one of the twins) has his arms around Luis and Lola, and Osa in a red shirt at the bottom right.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Hidalgo de la Riva family; 1980s; colorism; phenotype; Lola de la Riva; Luis Hidalgo; father; Tim Hidalgo de la Riva; twin,,,,Osa Hidalgo de la Riva,unknown,,photograph,500_OHR_06232022_052,,Unknown,
cb005,500_OHR_06232022_053.png,500_OHR_06232022_053,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_053.png,USC Latin@ Cinema Society poster,Osa Hidalgo de la Riva,Osa Hidalgo de la Riva,,April 2001,"Poster advertising an event put on by the U.S.C. Latin@ Cinema Society, a group Osa helped start while completing her PhD at USC. Osa designed the poster which features her Chicana corazon and four direction sun motifs against a black background, a film reel listing event details in the foreground, and additional information at the bottom decorated with rainbow border design. Text reads: ""Raza Cinema c/s; U.S.C. Latin@ Cinema Society proudly presents Film Festivel Fiesta III; free /film/food/fun",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; USC; University of Southern California; Latin@ Cinema Society; Raza; Norris Theater; Moctezuma Esparza; Nancy de los Santos; Mi Familia; Selena; award; Film Festival Fiesta; film festival; Xicana D.J. Kalli; Lil Loca; con safors; film screening; 2001; 2000s; film school,,,,Osa Hidalgo de la Riva,unknown,,poster,500_OHR_06232022_053,,Osa Hidalgo de la Riva,
cb004,500_OHR_06232022_054.png,500_OHR_06232022_054,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_054.png,Three de la Riva siblings,Unknown,Osa Hidalgo de la Riva,,c. 1980s,"Three de la Riva siblings at their house in Santa Cruz, California on Branciforte Street. This group was particularly keen on travel so this is a rare moment when they were in the same house together. The red curtains in the background were made by Lola's children, including Osa. From left to right: Aunt Sally, Ben Valverde, Aunt Lucy, Lola de la Riva.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Santa Cruz; Branciforte street; siblings; Lola de la Riva; Aunt Lucy; Ben Valverde; Aunt Sally; 1980s; family portrait,,,,Osa Hidalgo de la Riva,unknown,,photograph,500_OHR_06232022_054,,Unknown,
cb003,500_OHR_06232022_055.png,500_OHR_06232022_055,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_055.png,de la Riva family at Pacific Coast Manor,Unknown,Osa Hidalgo de la Riva,,c. 2018,"Post-meal photo of a portion of the de la Riva family celebrating the visit of Lola's first grandchild, Trent Marley Cuahtémoc de la Riva, at an IHOP near Pacific Coast Manor. Trent is the first son of Tim de la Riva, one of the twins. Included here are all the de la Riva women who currently live in Santa Cruz. From left to right: Lily de la Riva, Liz de la Riva, Lola de la Riva, Trent de la Riva, Laura dela Riva, Osa Hidalgo de la Riva.",cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; Lola de la Riva; Santa Cruz; Trent Marley Cuahtémoc; Pacific Coast Manor; Lily de la Riva; Liz de la Riva; Trent de la Riva; Laura de la Riva; 2018; family dinner,,,,Osa Hidalgo de la Riva,n/a,,digital photograph,500_OHR_06232022_055,,Unknown,
cb002,500_OHR_06232022_056.png,500_OHR_06232022_056,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/500_OHR_06232022_056.png,Print by Celia de la Riva Rubio,Celia de la Riva Rubio,Osa Hidalgo de la Riva,,c. mid-1970s,A digital photograph of an image on a computer screen of a printed poster by Aunt Sally. Osa visited Aunt Sally in Morelia Michoacan in Mexico where she had this poster framed that Osa then photographed. This image is a photo that Osa took using her cell phone of that original photograph on her computer screen. There is a physical poster in Osa's collection that will be imaged once it is uncovered. The poster was made by Aunt Sally when she took a silkscreen printing class taught by Malaquias,cpmr; de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Osa Hidalgo de la Riva; mid-1970s; Malaquias Montoya; RCAF; Royal Chicano Air Force; Aunt Sally; political graphics; lithograph; poster; Morelia; Michoacan; Mexico; UC Berkeley; eagle; UFW; Chicano graphics; Celia de la Riva Rubio,,,,Osa Hidalgo de la Riva,unknown,,print,500_OHR_06232022_056,,Celia de la Riva Rubio,
cb106,"51RQP8CB2QL._SX332_BO1,204,203,200_.jpg",51RQP8CB2QL,"_SX332_BO1,204,203,200_",jpg,,jpg,,image/jpg,image/jpg,image/jpg,"https://cpmrark.reclaim.hosting/images/records/51RQP8CB2QL._SX332_BO1,204,203,200_.jpg",Las Hermanas: Chicana/Latina Religious-Political Activism in the U. S. Catholic Church,Lara Medina,,,2005,n/a,,,,,Sister Yolanda Tarango,6x9,,Book,n/a,,Lara Medina,
